results:max_cv,results:time
1.6595934785077e-05,1453.6989872175
1.8373234473556e-05,1211.4149893479
2.2283892026916e-05,1211.4149893479
2.4662630819775e-05,1009.51165779
2.9903925183656e-05,1009.51165779
3.3079465984546e-05,841.25888149163
4.0092187697128e-05,841.25888149163
4.431387722764e-05,701.04823457636
5.3671048600008e-05,701.04823457636
6.4978883524603e-05,701.04823457636
7.1676664082242e-05,584.20602881363
8.6661996521823e-05,584.20602881363
0.00010470235869633,584.20602881363
0.00012638495645697,584.20602881363
0.00015239378355021,584.20602881363
0.00018351834541429,584.20602881363
