csv_0,csv_1,csv_2,csv_3
0.055,0.5,-2,0.25
0.065,0.5,-2,0.25
0.075,0.5,-2,0.25
0.085,0.5,-2,0.25
0.095,0.5,-2,0.25
0.105,0.5,-2,0.25
0.115,0.5,-2,0.25
0.125,0.5,-2,0.25
0.135,0.5,-2,0.25
0.145,0.5,-2,0.25
0.155,0.5,-2,0.25
0.165,0.5,-2,0.25
0.175,0.5,-2,0.25
0.185,0.5,-2,0.25
0.195,0.5,-2,0.25
0.205,0.5,-2,0.25
