sample_0,sample_1,sample_2,sample_3
0.055,0.5,-2,0.1
0.055,0.5,-2,0.15
0.055,0.5,-2,0.2
0.055,0.5,-2,0.25
0.055,0.5,-2,0.3
0.055,0.5,-2,0.35
0.055,0.5,-2,0.4
