results:max_cv,results:time
1.0059443973535,825268094.28394
1.0020262597275,822037793.94618
1.0028482450021,822435731.19206
1.0153227280949,832889161.62276
1.025765679692,841406505.1414
1.0052720427855,824518951.69138
1.0376059882928,850937460.39574
1.0790146020619,884749544.91497
1.0394635859164,852064529.87971
1.0695610897382,876409230.73356
1.0701856469521,876409230.73356
1.0711051764206,876409230.73356
1.0724589879023,876409230.73356
1.0744521865747,876409230.73356
1.077386749483,876409230.73356
1.0817072701273,876409230.73356
