sample_0,sample_1,sample_2,sample_3
0.055,0.5,-2,0.1
0.055,0.5,-2,0.2
0.055,0.5,-2,0.3
0.055,0.5,-2,0.4
0.055,0.5,-2,0.5
0.055,0.5,-2,0.6
0.055,0.5,-2,0.7
0.055,0.5,-2,0.8
0.055,0.5,-2,0.9
0.055,0.5,-2,1
0.055,0.5,-2,1.1
0.055,0.5,-2,1.2
0.055,0.5,-2,1.3
0.055,0.5,-2,1.4
0.055,0.5,-2,1.5
0.055,0.5,-2,1.6
0.055,0.5,-2,1.7
