csv_0,csv_1,csv_2
0.055,0,0.1
0.055,0,0.2
0.055,0,0.3
0.055,0,0.4
0.055,0,0.5
0.055,0,0.6
0.055,0,0.7
0.055,0,0.8
0.055,0,0.9
0.055,0,1
0.055,0,1.1
0.055,0,1.2
0.055,0,1.3
0.055,0,1.4
0.055,0,1.5
