results:max_cv,results:time
0.14622546420515,115564.87875079
nan,nan
1.1114541828344,199696.11412137
0.0098429928380041,3692066.8937969
0.0019097403120721,32252.033119537
0.011050928872997,584.20602881363
0.00511446530112,2093.3287415933
1.0112888877818,244805.76966114
0.30321331795883,239635.33794564
1.0588165257373,352209213.73703
1.1114857475421,199696.11412137
0.011811550497883,4430480.2735563
0.0022917383892517,38702.440743444
0.013363481877138,701.04823457636
0.0051101089482435,2093.3287415933
nan,nan
0.13994788082844,199696.11412137
nan,nan
1.0038764127071,244589731.7603
0.010295554758172,94.348342739222
0.0021272749443062,234.77630980486
0.010080600402874,1744.439784661
0.0056731058591841,3617.2757054731
1.0202381836875,14678.794055465
0.0038149755932018,3014.3955878943
0.0012450484968121,414089.86761007
0.00063853608491965,113.21901128707
nan,nan
0.0098529918443302,166413.42760114
0.0017885568458235,94.348342739222
0.00059293507345874,234.77630980486
0.0057363113401765,1453.6989872175
0.0036509514960683,5208.8792158813
0.0013621757977702,22397.243694123
0.00068322564952566,166413.42760114
nan,nan
0.010974216181767,1211.4149893479
0.0019549087005972,338.080086119
0.00054297723361016,338.080086119
0.0063968808726269,94.348342739222
0.0038160781362443,3014.3955878943
0.0014940228454709,496907.84213209
0.00067009768675043,113.21901128707
1.0141512108638,364027422.14823
0.014188309391537,239635.33794564
0.0022486354444501,113.21901128707
0.00058857872059477,234.77630980486
0.0057353898993472,1453.6989872175
0.29019593563244,414089.86761007
1.1584382760787,19050254.237682
1.0038805661426,244589731.7603
0.012390523834579,113.21901128707
0.0025665263512719,281.73257176583
0.0145469535039,2511.9954899119
0.0056703044705503,3617.2757054731
nan,nan
0.0036515621509608,5208.8792158813
0.0016346730934145,26876.693432947
0.0006832489258586,166413.42760114
1.0295792079435,9099.9134380693
0.015816549143242,1744.439784661
0.0023771427924918,405.6971033428
0.00054017584500275,338.080086119
0.005318311576794,78.622785616018
