results:max_cv,results:time
9.8021467691735e-05,80253.386493606
0.0093317892137191,7655869.9163453
nan,nan
9.0705142700092e-05,234.77630980486
0.0086330964521188,22397.243694123
nan,nan
0.00010318917132766,0.81922331180476
0.0095865186118519,78.622785616018
nan,nan
0.00011758591388883,96304.064792327
0.011198115347246,9187043.9006144
9.5222803570876,7814152735.0388
0.00010898603296995,281.73257176583
0.012431748412517,32252.033119537
8.8113615485397,22860305.086218
0.00012929820067266,0.56737729986441
0.011560792000799,94.348342739222
9.7819947194083,80253.386493606
0.00014107302158744,115564.87875079
0.016125210145263,13229343.219085
9.5245398802138,7814152735.0388
0.00013401397582889,338.080086119
0.014921328856409,38702.440743444
8.8113724949333,22860305.086218
0.0001888575954731,0.072035107872932
0.017667472640904,135.86381354448
9.7830411787607,80253.386493606
